학과코드,이수구분,학수번호,교과목명,학점,교수명,강의시간,강의실,수강인원,정원
400000,교필,KYC55-A2,글쓰기의기초,3,김민환,화(16:00~17:15)화(17:30~18:45),3408(),0,30
400000,교필,KYC55-A3,글쓰기의기초,3,유예원,화(13:00~14:15)화(14:30~15:45),20505(),0,30
400000,교필,KYC55-A4,글쓰기의기초,3,계광수,화(13:00~14:15)화(14:30~15:45),3412(),0,30
400000,교필,KYC55-A5,글쓰기의기초,3,신혜수,화(13:00~14:15)화(14:30~15:45),3503(),0,30
400000,교필,KYC55-B1,글쓰기의기초,3,서경희,화(16:00~17:15)화(17:30~18:45),3410(),0,30
400000,교필,KYC55-B2,글쓰기의기초,3,계광수,화(16:00~17:15)화(17:30~18:45),3412(),0,30
400000,교필,KYC55-B3,글쓰기의기초,3,신혜수,화(16:00~17:15)화(17:30~18:45),3503(),0,30
400000,교필,KYC55-B4,글쓰기의기초,3,유예원,화(16:00~17:15)화(17:30~18:45),20505(),0,30
400000,교필,KYC55-C1,글쓰기의기초,3,허난희,목(13:00~14:15)목(14:30~15:45),20505(),0,30
400000,교필,KYC55-C2,글쓰기의기초,3,서경희,목(13:00~14:15)목(14:30~15:45),3410(),0,30
400000,교필,KYC55-C3,글쓰기의기초,3,서영화,목(13:00~14:15)목(14:30~15:45),3412(),0,30
400000,교필,KYC55-C4,글쓰기의기초,3,한정미,목(13:00~14:15)목(14:30~15:45),8110(),0,30
400000,교필,KYC55-C5,글쓰기의기초,3,전지은,화(13:00~14:15)화(14:30~15:45),18211-1(),0,30
400000,교필,KYC55-D1,글쓰기의기초,3,한정미,목(16:00~17:15)목(17:30~18:45),8110(),0,30
400000,교필,KYC55-D2,글쓰기의기초,3,서영화,목(16:00~17:15)목(17:30~18:45),3412(),0,30
400000,교필,KYC55-D3,글쓰기의기초,3,전지은,화(16:00~17:15)화(17:30~18:45),18211-1(),0,30
400000,교필,KYC55-D4,글쓰기의기초,3,허난희,목(16:00~17:15)목(17:30~18:45),20505(),0,30
