course_id,course_code,course_name,credits,department,description,source
1,AI402,인공지능과사회,3,인공지능,,융합전공 교과과정 편성표2026
2,DS201,데이터사이언스입문,3,데이터사이언스,,융합전공 교과과정 편성표2026
3,DS301,데이터분석실습,3,데이터사이언스,,융합전공 교과과정 편성표2026
4,EA335,디지털헬스케어개론,3,AI·SW계열,,융합전공 교과과정 편성표2026
5,EM234,의료인공지능기초,3,AI·SW계열,,융합전공 교과과정 편성표2026
6,EZ336,시니어케어와기술,3,융합전공,,융합전공 교과과정 편성표2026
7,EZ431,노인인지훈련시스템,3,융합전공,,융합전공 교과과정 편성표2026
8,MI401,감성컴퓨팅,3,AI·SW계열,,융합전공 교과과정 편성표2026
9,NEW-001,장애인레저스포츠와SW,3,융합전공,,융합전공 교과과정 편성표2026
10,NEW-002,장애인복지와정책,3,융합전공,,융합전공 교과과정 편성표2026
11,NEW-003,보조공학기기실습,3,융합전공,,융합전공 교과과정 편성표2026
12,NEW-004,AI기반장애인서비스설계,3,융합전공,,융합전공 교과과정 편성표2026
13,NEW-005,시니어생활지원서비스,3,융합전공,,융합전공 교과과정 편성표2026
14,NEW-006,AI기반시니어케어시스템,3,융합전공,,융합전공 교과과정 편성표2026
15,NEW-007,노인인지훈련콘텐츠개발,3,융합전공,,융합전공 교과과정 편성표2026
16,NEW-008,디지털리터러시와시니어,3,융합전공,,융합전공 교과과정 편성표2026
17,NEW-009,스마트홈과케어로봇,3,융합전공,,융합전공 교과과정 편성표2026
18,NEW-010,장애인AI응용프로젝트,3,융합전공,,융합전공 교과과정 편성표2026
19,NP201,특수체육실기,2,체육,,융합전공 교과과정 편성표2026
20,NP261,장애인운동지도,2,체육,,융합전공 교과과정 편성표2026
21,NP262,보조운동기구1,2,체육,,융합전공 교과과정 편성표2026
22,NP301,운동처방학,3,체육,,융합전공 교과과정 편성표2026
23,NP427,특수체육실습,2,체육,,융합전공 교과과정 편성표2026
24,PS106,복지프로그램개발,3,복지,,융합전공 교과과정 편성표2026
25,PS214,노인학,3,복지,,융합전공 교과과정 편성표2026
26,PS215,복지행위분석과계획,3,복지,,융합전공 교과과정 편성표2026
27,PS321,노인건강증진과운동처방,3,복지,,융합전공 교과과정 편성표2026
28,PS407,장애인복지행정,3,복지,,융합전공 교과과정 편성표2026
29,SA102,보조공학기초,3,보조공학,,융합전공 교과과정 편성표2026
30,SA106,보조공학과제,3,보조공학,,융합전공 교과과정 편성표2026
31,SB208,근로치료,3,치료,,융합전공 교과과정 편성표2026
32,SB301,작업치료,3,치료,,융합전공 교과과정 편성표2026
33,SB302,보조기기,3,치료,,융합전공 교과과정 편성표2026
34,SB411,인지치료,3,치료,,융합전공 교과과정 편성표2026
35,SH203,컴퓨터윤리,3,소프트웨어,,융합전공 교과과정 편성표2026
36,SH328,딥러닝기초,3,인공지능,,융합전공 교과과정 편성표2026
37,SH404,자연어처리,3,AI·SW계열,,융합전공 교과과정 편성표2026
38,SH409,디지털라이프케어서비스,3,AI·SW학,,융합전공 교과과정 편성표2026
39,TR124,보조공학과제,3,치료,,융합전공 교과과정 편성표2026
40,TR271,노인의료,3,의료,,융합전공 교과과정 편성표2026
41,TR370,노인간호학,3,의료,,융합전공 교과과정 편성표2026
42,TR371,노인건강평가,3,의료,,융합전공 교과과정 편성표2026
43,XR201,XR기초실습,3,XR콘텐츠,,융합전공 교과과정 편성표2026
44,XR401,XR콘텐츠입문,3,XR콘텐츠,,융합전공 교과과정 편성표2026
45,SH309,기계학습,3,AI·SW계열,,융합전공 교과과정 편성표2026
46,SH323,인간컴퓨터상호작용,3,AI·SW계열,,융합전공 교과과정 편성표2026
47,SH340,인지감성컴퓨팅개발1,3,AI·SW학,,융합전공 교과과정 편성표2026
48,SH343,앰비언트컴퓨팅개발1,3,AI·SW학,,융합전공 교과과정 편성표2026
49,SH405,컴퓨터비전,3,AI·SW계열,,융합전공 교과과정 편성표2026
50,NI140,머신러닝,3,소프트웨어융합학부,,융합전공 교과과정 편성표2026
51,NE341,기계학습,3,컴퓨터공학부,,융합전공 교과과정 편성표2026
52,DS403,빅데이터분석,3,데이터사이언스,,융합전공 교과과정 편성표2026
53,PS231,AI보건의료플랫폼,3,복지,,융합전공 교과과정 편성표2026
54,PS413,장애인복지실습,3,복지,,융합전공 교과과정 편성표2026
