course_id,course_code,course_name,credits,department,description,source
1,DOC-C001,SW기초실습,2,SW교육센터,SW 기초 실습,SW중심대학 소개2026
2,DOC-C002,파이썬프로그래밍,3,SW교육센터,파이썬 기초 프로그래밍,SW중심대학 소개2026
3,DOC-C003,자바프로그래밍,3,SW교육센터,자바 기초 프로그래밍,SW중심대학 소개2026
4,DOC-C004,데이터베이스실습,2,SW교육센터,데이터베이스 실습,SW중심대학 소개2026
5,DOC-C005,웹개발기초,2,SW교육센터,웹 개발 기초,SW중심대학 소개2026
6,DOC-C006,알고리즘실습,2,SW교육센터,알고리즘 실습,SW중심대학 소개2026
7,DOC-C007,인공지능입문,2,SW교육센터,인공지능 입문,SW중심대학 소개2026
8,DOC-C008,클라우드실습,2,SW교육센터,클라우드 컴퓨팅 실습,SW중심대학 소개2026
9,DOC-C009,모바일앱개발,2,SW교육센터,모바일 앱 개발,SW중심대학 소개2026
10,DOC-C010,AI코딩실습,2,SW교육센터,AI 기반 코딩 실습,SW중심대학 소개2026
