program_id,program_name,program_type,department,required_credits,description,source
1,SW심화전공-소프트웨어개발,MAJOR深化,소프트웨어융합학부,18,소프트웨어 개발 역량 심화,SW중심대학 소개2026
2,SW심화전공-인공지능,MAJOR深化,인공지능,18,인공지능 역량 심화,SW중심대학 소개2026
3,SW심화전공-데이터사이언스,MAJOR深化,데이터사이언스,18,데이터사이언스 역량 심화,SW중심대학 소개2026
4,SW심화전공-XR콘텐츠,MAJOR深化,XR콘텐츠,18,XR콘텐츠 역량 심화,SW중심대학 소개2026
5,SW심화전공-지능형IoT,MAJOR深化,지능형IoT,18,지능형IoT 역량 심화,SW중심대학 소개2026
6,SW심화전공-AI시스템,MAJOR深化,AI·SW학,18,AI시스템 역량 심화,SW중심대학 소개2026
7,인지감성컴퓨팅 특화전공,SPECIALIZED,AI·SW학,21,인지감성컴퓨팅 특화,SW중심대학 소개2026
8,앰비언트컴퓨팅 특화전공,SPECIALIZED,AI·SW학,21,앰비언트컴퓨팅 특화,SW중심대학 소개2026
9,AI융합장애인라이프케어,CONVERGENCE,융합전공,21,장애인 라이프케어 AI융합,SW중심대학 소개2026
10,AI융합시니어라이프케어,CONVERGENCE,융합전공,21,시니어 라이프케어 AI융합,SW중심대학 소개2026
