curriculum_course_id,program_id,course_id,recommended_grade_min,recommended_grade_max,semester,completion_type,is_recommended,note,source
1,1,5,2,2,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
2,1,25,2,2,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
3,1,2,2,2,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
4,1,9,2,2,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
5,1,8,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
6,1,19,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
7,1,22,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
8,1,10,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
9,1,7,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
10,1,23,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
11,1,6,3,4,2,전공선택,FALSE,NE341·NI140과 동일 인정 그룹,특화전공 교과과정 편성표2026
12,1,3,3,4,2,전공선택,FALSE,SH309·NI140과 동일 인정 그룹,특화전공 교과과정 편성표2026
13,1,4,3,4,2,전공선택,FALSE,SH309·NE341과 동일 인정 그룹,특화전공 교과과정 편성표2026
14,1,20,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
15,1,24,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
16,1,13,3,3,2,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
17,1,14,4,4,1,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
18,1,15,4,4,2,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
19,2,5,2,2,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
20,2,1,2,2,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
21,2,2,2,2,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
22,2,9,2,2,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
23,2,8,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
24,2,10,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
25,2,12,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
26,2,11,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
27,2,21,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
28,2,23,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
29,2,7,3,4,2,전공선택,FALSE,,특화전공 교과과정 편성표2026
30,2,6,3,4,2,전공선택,FALSE,NE341·NI140과 동일 인정 그룹,특화전공 교과과정 편성표2026
31,2,3,3,4,2,전공선택,FALSE,SH309·NI140과 동일 인정 그룹,특화전공 교과과정 편성표2026
32,2,4,3,4,2,전공선택,FALSE,SH309·NE341과 동일 인정 그룹,특화전공 교과과정 편성표2026
33,2,24,3,4,1,전공선택,FALSE,,특화전공 교과과정 편성표2026
34,2,16,3,3,2,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
35,2,17,4,4,1,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
36,2,18,4,4,2,전공선택,TRUE,이수 권고,특화전공 교과과정 편성표2026
