event_id,academic_year,semester,event_name,event_type,start_date,end_date,is_mandatory,description,source_url
1,2026,2,2026-2학기 수강신청,COURSE_REGISTRATION,2026-08-04,2026-08-08,True,2026학년도 2학기 수강신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
2,2026,2,2026-2학기 수강신청 변경기간,COURSE_REGISTRATION,2026-08-25,2026-08-27,False,수강신청 정정기간,https://www.hs.ac.kr/sce/11212/subview.do
3,2026,2,2026-2학기 등록금 납부,TUITION_PAYMENT,2026-08-11,2026-08-13,True,2026학년도 2학기 등록금 납부 기간,https://www.hs.ac.kr/sce/11212/subview.do
4,2026,1,2026-1학기 기말 강의평가,FINAL_COURSE_EVALUATION,2026-06-02,2026-06-12,True,기말 강의평가 기간. 미이수 시 성적 열람 불가,https://www.hs.ac.kr/sce/11212/subview.do
5,2026,1,2026-1학기 기말고사,EXAM,2026-06-16,2026-06-22,True,기말고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
6,2026,1,2026-1학기 성적조회,GRADE_INQUIRY,2026-06-30,2026-07-03,True,1학기 성적 조회 기간,https://www.hs.ac.kr/sce/11212/subview.do
7,2026,1,2026-1학기 성적정정,GRADE_INQUIRY,2026-07-03,2026-07-04,False,성적 정정 신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
8,2026,,2026-2학기 융합/특화전공 신청,PRE_REGISTRATION,2026-07-14,2026-07-25,False,2026-2학기 융합/특화전공 신청 안내,https://swuniv.hs.ac.kr/02/02.php
9,2026,1,2026-1학기 휴학신청,ADMINISTRATIVE,2026-03-02,2026-03-13,False,휴학신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
10,2026,2,2026-2학기 복학신청,ADMINISTRATIVE,2026-08-04,2026-08-08,False,복학신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
11,2026,1,2026-1학기 수강신청,COURSE_REGISTRATION,2026-02-09,2026-02-13,True,2026학년도 1학기 수강신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
12,2026,1,2026-1학기 수강신청 변경기간,COURSE_REGISTRATION,2026-03-02,2026-03-04,False,1학기 수강신청 정정기간,https://www.hs.ac.kr/sce/11212/subview.do
13,2026,1,2026-1학기 등록금 납부,TUITION_PAYMENT,2026-02-16,2026-02-18,True,2026학년도 1학기 등록금 납부 기간,https://www.hs.ac.kr/sce/11212/subview.do
14,2026,1,2026-1학기 중간고사,EXAM,2026-04-14,2026-04-20,True,중간고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
15,2026,1,2026-1학기 중간 강의평가,FINAL_COURSE_EVALUATION,2026-04-07,2026-04-11,True,중간 강의평가 기간,https://www.hs.ac.kr/sce/11212/subview.do
16,2025,2,2025-2학기 수강신청,COURSE_REGISTRATION,2025-08-04,2025-08-08,True,2025학년도 2학기 수강신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
17,2025,2,2025-2학기 수강신청 변경기간,COURSE_REGISTRATION,2025-08-25,2025-08-27,False,2학기 수강신청 정정기간,https://www.hs.ac.kr/sce/11212/subview.do
18,2025,2,2025-2학기 등록금 납부,TUITION_PAYMENT,2025-08-11,2025-08-13,True,2025학년도 2학기 등록금 납부 기간,https://www.hs.ac.kr/sce/11212/subview.do
19,2025,1,2025-1학기 기말고사,EXAM,2025-06-16,2025-06-22,True,기말고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
20,2025,1,2025-1학기 기말 강의평가,FINAL_COURSE_EVALUATION,2025-06-02,2025-06-12,True,기말 강의평가 기간,https://www.hs.ac.kr/sce/11212/subview.do
21,2025,1,2025-1학기 성적조회,GRADE_INQUIRY,2025-06-30,2025-07-03,True,1학기 성적 조회 기간,https://www.hs.ac.kr/sce/11212/subview.do
22,2025,1,2025-1학기 성적정정,GRADE_INQUIRY,2025-07-03,2025-07-04,False,성적 정정 신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
23,2025,,2025-2학기 융합/특화전공 신청,PRE_REGISTRATION,2025-07-07,2025-07-18,False,2025-2학기 융합/특화전공 신청 안내,https://swuniv.hs.ac.kr/02/02.php
24,2025,1,2025-1학기 수강신청,COURSE_REGISTRATION,2025-02-03,2025-02-07,True,2025학년도 1학기 수강신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
25,2025,1,2025-1학기 수강신청 변경기간,COURSE_REGISTRATION,2025-03-03,2025-03-05,False,1학기 수강신청 정정기간,https://www.hs.ac.kr/sce/11212/subview.do
26,2025,1,2025-1학기 등록금 납부,TUITION_PAYMENT,2025-02-10,2025-02-12,True,2025학년도 1학기 등록금 납부 기간,https://www.hs.ac.kr/sce/11212/subview.do
27,2025,1,2025-1학기 중간고사,EXAM,2025-04-14,2025-04-20,True,중간고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
28,2025,2,2025-2학기 중간고사,EXAM,2025-10-20,2025-10-26,True,중간고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
29,2025,2,2025-2학기 기말고사,EXAM,2025-12-15,2025-12-21,True,기말고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
30,2025,2,2025-2학기 기말 강의평가,FINAL_COURSE_EVALUATION,2025-12-01,2025-12-11,True,기말 강의평가 기간,https://www.hs.ac.kr/sce/11212/subview.do
31,2025,2,2025-2학기 성적조회,GRADE_INQUIRY,2025-12-29,2026-01-02,True,2학기 성적 조회 기간,https://www.hs.ac.kr/sce/11212/subview.do
32,2025,2,2025-2학기 성적정정,GRADE_INQUIRY,2026-01-02,2026-01-03,False,성적 정정 신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
33,2025,2,2025-동계 계절학기 수강신청,COURSE_REGISTRATION,2025-12-22,2025-12-24,False,동계 계절학기 수강신청,https://www.hs.ac.kr/sce/11212/subview.do
34,2026,,2026-동계 계절학기 수강신청,COURSE_REGISTRATION,2026-12-21,2026-12-23,False,동계 계절학기 수강신청,https://www.hs.ac.kr/sce/11212/subview.do
35,2026,2,2026-2학기 기말 강의평가,FINAL_COURSE_EVALUATION,2026-12-01,2026-12-11,True,기말 강의평가 기간,https://www.hs.ac.kr/sce/11212/subview.do
36,2026,2,2026-2학기 기말고사,EXAM,2026-12-14,2026-12-20,True,기말고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
37,2026,2,2026-2학기 성적조회,GRADE_INQUIRY,2026-12-29,2027-01-02,True,2학기 성적 조회 기간,https://www.hs.ac.kr/sce/11212/subview.do
38,2026,1,2026-1학기 휴학신청,ADMINISTRATIVE,2026-02-23,2026-03-06,False,1학기 휴학신청 기간,https://www.hs.ac.kr/sce/11212/subview.do
39,2026,1,2026-하계 계절학기 수강신청,COURSE_REGISTRATION,2026-05-25,2026-05-27,False,하계 계절학기 수강신청,https://www.hs.ac.kr/sce/11212/subview.do
40,2026,2,2026-2학기 중간고사,EXAM,2026-10-19,2026-10-25,True,중간고사 기간,https://www.hs.ac.kr/sce/11212/subview.do
41,2026,2,2026-2학기 예비 수강신청,PRE_REGISTRATION,2026-07-28,2026-07-31,True,2026학년도 2학기 예비 수강신청(희망과목담기) 기간입니다.,https://www.hs.ac.kr/sce/11212/subview.do

