relationship_id,from_course_id,to_course_id,relationship_type,program_id,note
1,692,693,PREREQUISITE,,프로그래밍기초->데이터구조
2,693,699,PREREQUISITE,,데이터구조->인공지능개론
3,699,700,PREREQUISITE,,인공지능개론->기계학습
4,700,701,PREREQUISITE,,기계학습->딥러닝
5,701,702,PREREQUISITE,,딥러닝->자연어처리
6,701,703,PREREQUISITE,,딥러닝->컴퓨터비전
7,691,699,SEQUENCE,,SW와인공지능개론->인공지능개론
8,696,704,SEQUENCE,,데이터베이스->데이터사이언스입문
9,704,706,PREREQUISITE,,데이터사이언스입문->빅데이터분석
10,705,706,PREREQUISITE,,통계학->빅데이터분석
11,704,707,PREREQUISITE,,데이터사이언스입문->데이터시각화
12,706,747,PREREQUISITE,,빅데이터분석->추천시스템
13,706,748,PREREQUISITE,,빅데이터분석->시계열분석
14,706,749,PREREQUISITE,,빅데이터분석->텍스트마이닝
15,706,750,PREREQUISITE,,빅데이터분석->그래프데이터분석
16,692,740,SEQUENCE,,프로그래밍기초->웹프로그래밍
17,740,741,PREREQUISITE,,웹프로그래밍->모바일프로그래밍
18,696,726,SEQUENCE,,데이터베이스->클라우드컴퓨팅
19,726,742,PREREQUISITE,,클라우드컴퓨팅->클라우드아키텍처
20,742,743,PREREQUISITE,,클라우드아키텍처->마이크로서비스
21,743,744,PREREQUISITE,,마이크로서비스->DevOps
22,714,719,SEQUENCE,,알고리즘->컴퓨터그래픽스
23,719,720,PREREQUISITE,,컴퓨터그래픽스->게임프로그래밍
24,719,721,PREREQUISITE,,컴퓨터그래픽스->영상처리
25,721,751,PREREQUISITE,,영상처리->디지털트윈
26,751,752,PREREQUISITE,,디지털트윈->메타버스
27,711,712,PREREQUISITE,,IoT개론->임베디드시스템
28,712,713,PREREQUISITE,,임베디드시스템->센서네트워크
29,712,723,PREREQUISITE,,임베디드시스템->로봇공학
30,712,728,PREREQUISITE,,임베디드시스템->임베디드AI
31,728,729,PREREQUISITE,,임베디드AI->엣지컴퓨팅
32,713,753,PREREQUISITE,,센서네트워크->스마트팩토리
33,711,754,SEQUENCE,,IoT개론->자율주행
34,733,734,SEQUENCE,,캡스톤디자인1->캡스톤디자인2
35,735,736,SEQUENCE,,산학협력프로젝트1->산학협력프로젝트2
36,701,745,SEQUENCE,,딥러닝->AI서비스개발
37,745,746,PREREQUISITE,,AI서비스개발->AI시스템운영
