schedule_id,offering_id,day_of_week,start_time,end_time,classroom
1,1,화,13:00:00,14:15:00,3308
2,1,화,14:30:00,15:45:00,3308
3,2,화,11:00:00,12:15:00,18211-1
4,2,목,09:30:00,10:45:00,18211-1
5,3,목,13:00:00,14:15:00,3505
6,3,목,14:30:00,15:45:00,3505
7,4,목,13:00:00,14:15:00,18211-1
8,4,목,14:30:00,15:45:00,18211-1
9,5,목,13:00:00,14:15:00,18212-1
10,5,목,14:30:00,15:45:00,18212-1
11,6,목,13:00:00,14:15:00,18420-1
12,6,목,14:30:00,15:45:00,18420-1
13,7,화,13:00:00,14:15:00,18211-1
14,7,화,14:30:00,15:45:00,18211-1
15,8,화,13:00:00,14:15:00,18212-1
16,8,화,14:30:00,15:45:00,18212-1
17,9,금,09:30:00,10:45:00,18103
18,9,금,11:00:00,12:15:00,18103
19,10,금,09:30:00,10:45:00,18104
20,10,금,11:00:00,12:15:00,18104
21,11,금,13:00:00,14:15:00,3308
22,11,금,14:30:00,15:45:00,3308
23,12,금,16:00:00,17:15:00,3308
24,12,금,17:30:00,18:45:00,3308
25,13,목,11:00:00,12:40:00,18211-1
26,14,화,11:00:00,12:40:00,3505
27,15,월,11:00:00,12:15:00,18211-1
28,15,수,09:30:00,10:45:00,18211-1
29,16,월,11:00:00,12:15:00,18212-1
30,16,수,09:30:00,10:45:00,18212-1
31,17,금,09:30:00,10:45:00,18211-1
32,17,금,11:00:00,12:15:00,18211-1
33,18,금,09:30:00,10:45:00,18212-1
34,18,금,11:00:00,12:15:00,18212-1
35,19,월,09:30:00,10:45:00,18211-1
36,19,수,11:00:00,12:15:00,18211-1
37,20,월,09:30:00,10:45:00,18212-1
38,20,수,11:00:00,12:15:00,18212-1
39,21,월,13:00:00,14:15:00,3505
40,21,수,13:00:00,14:15:00,3505
41,22,금,09:30:00,10:45:00,10206
42,22,금,11:00:00,12:15:00,10206
43,23,금,13:00:00,14:15:00,10206
44,23,금,14:30:00,15:45:00,10206
45,24,금,13:00:00,14:15:00,10301
46,24,금,14:30:00,15:45:00,10301
47,25,금,16:00:00,17:15:00,10301
48,25,금,17:30:00,18:45:00,10301
49,26,화,16:00:00,17:15:00,10206
50,26,화,17:30:00,18:45:00,10206
51,27,목,13:00:00,14:15:00,10206
52,27,목,14:30:00,15:45:00,10206
53,28,월,17:30:00,18:20:00,4107
54,34,월,11:00:00,12:40:00,18420
55,35,화,16:00:00,17:15:00,18421
56,35,화,17:30:00,18:45:00,18421
57,36,월,13:00:00,14:15:00,18519
58,36,수,13:00:00,14:15:00,18519
59,37,금,13:00:00,14:15:00,18421
60,37,금,14:30:00,15:45:00,18421
61,38,월,17:30:00,18:20:00,채플실
62,39,금,13:00:00,14:15:00,18212
63,39,금,14:30:00,15:45:00,18212
64,40,목,11:00:00,12:40:00,18420
65,41,월,11:00:00,12:40:00,18211
66,42,목,17:30:00,19:10:00,18420
67,43,화,13:00:00,14:15:00,18106
68,43,화,14:30:00,15:45:00,18106
69,44,화,13:00:00,14:15:00,7215
70,44,화,14:30:00,15:45:00,7215
71,140,금,13:00:00,14:15:00,3308
72,140,금,14:30:00,15:45:00,3308
73,141,화,13:00:00,14:15:00,3308
74,141,화,14:30:00,15:45:00,3308
75,142,금,16:00:00,17:15:00,3308
76,142,금,17:30:00,18:45:00,3308
