program_id,program_name,program_type,required_credits,effective_from_year,effective_to_year,source_url
1,AI·SW학 전공,MAJOR,36,2023,,https://swuniv.hs.ac.kr/02/02.php
2,컴퓨터공학부,MAJOR,36,2023,,https://swuniv.hs.ac.kr/02/02.php
3,소프트웨어융합학부,MAJOR,36,2023,,https://swuniv.hs.ac.kr/02/02.php
4,IT영상콘텐츠학과,MAJOR,36,2023,,https://swuniv.hs.ac.kr/02/02.php
5,인지감성컴퓨팅 특화전공,SPECIALIZED,21,2025,,https://swuniv.hs.ac.kr/02/02.php
6,앰비언트컴퓨팅 특화전공,SPECIALIZED,21,2025,,https://swuniv.hs.ac.kr/02/02.php
7,AI SW 융합 전공,CONVERGENCE,21,2023,,https://swuniv.hs.ac.kr/02/02.php
8,소프트웨어전공,MAJOR,36.0,2023,,https://swuniv.hs.ac.kr/02/02.php
9,인공지능전공,MAJOR,36.0,2023,,https://swuniv.hs.ac.kr/02/02.php
10,데이터사이언스전공,MAJOR,36.0,2023,,https://swuniv.hs.ac.kr/02/02.php
11,XR콘텐츠전공,MAJOR,36.0,2023,,https://swuniv.hs.ac.kr/02/02.php
12,지능형IoT전공,MAJOR,36.0,2023,,https://swuniv.hs.ac.kr/02/02.php
13,SW심화전공-소프트웨어개발,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
14,SW심화전공-인공지능,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
15,SW심화전공-데이터사이언스,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
16,SW심화전공-XR콘텐츠,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
17,SW심화전공-지능형IoT,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
18,SW심화전공-AI시스템,MAJOR深化,18.0,2023,,https://swuniv.hs.ac.kr/02/02.php
19,AI융합장애인라이프케어,CONVERGENCE,21.0,2023,,https://swuniv.hs.ac.kr/02/02.php
20,AI융합시니어라이프케어,CONVERGENCE,21.0,2023,,https://swuniv.hs.ac.kr/02/02.php
