ESTB_SBJT_CD,ESTB_SBJT_NM,SHYR,SMST_GBCD,COURSE_CD,COURSE_NM,CLAS,COPL_GBNM,LISTAGG_GRADE,PNT,LISTAGG_TEHIN,LISTAGG_ROOM,LISTAGG_PESN_GEND_NM,PESN_NO,INWON,NOTE,MMDIST_GBNM,PLAN_YN,BUID_NM,CYBER_GBCD,NOW_DEPT_CD,NOW_DEPT_NM,_academic_year,_semester_code,_semester_name
400000,교양과정,2023,1,*KY021,사이버한국여행1,A,교양선택,"1, 2, 3, 4",3,"화요일(13:00~14:15), 화요일(14:30~15:45)","3308, 3308",PANG LI,20120123,35/35,외국인학생 전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY032,초급한국어문법Ⅱ,A,교양선택,1,3,"화요일(11:00~12:15), 목요일(09:30~10:45)","18211-1, 18211-1",최승희,20210140,35/35,외국인학생 전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY032,초급한국어문법Ⅱ,B,교양선택,1,3,"목요일(13:00~14:15), 목요일(14:30~15:45)","3505, 3505",김연숙,20220165,33/35,외국인학생 전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY033,초급한국어회화Ⅱ,A,교양선택,1,3,"목요일(13:00~14:15), 목요일(14:30~15:45)","18211-1, 18211-1",최현실,20220145,12/20,외국인학생전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY033,초급한국어회화Ⅱ,B,교양선택,1,3,"목요일(13:00~14:15), 목요일(14:30~15:45)","18212-1, 18212-1",김민정,20210060,14/20,외국인학생전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY033,초급한국어회화Ⅱ,C,교양선택,1,3,"목요일(13:00~14:15), 목요일(14:30~15:45)","18420-1, 18420-1",신남미,20220143,14/20,외국인학생 전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY034,중급한국어문법Ⅱ,A,교양선택,"1, 2, 3, 4",3,"화요일(13:00~14:15), 화요일(14:30~15:45)","18211-1, 18211-1",임지숙,20210141,18/35,외국인학생전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY034,중급한국어문법Ⅱ,B,교양선택,"1, 2, 3, 4",3,"화요일(13:00~14:15), 화요일(14:30~15:45)","18212-1, 18212-1",김연숙,20220165,31/35,외국인학생전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY035,중급한국어회화Ⅱ,A,교양선택,"1, 2, 3, 4",3,"금요일(09:30~10:45), 금요일(11:00~12:15)","18103, 18103",최현실,20220145,20/20,외국인교환학생전용강의,글로벌,1,,대면,,,2023,1,1학기
400000,교양과정,2023,1,*KY035,중급한국어회화Ⅱ,B,교양선택,"1, 2, 3, 4",3,"금요일(09:30~10:45), 금요일(11:00~12:15)","18104, 18104",신남미,20220143,19/20,외국인학생 전용강의,글로벌,1,,대면,,,2023,1,1학기
