curriculum_course_id,program_id,course_id,recommended_grade_min,recommended_grade_max,semester,completion_type,is_recommended,note,source
1,1,FLOW-001,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
2,1,FLOW-002,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
3,1,FLOW-014,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
4,1,FLOW-025,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
5,1,FLOW-026,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
6,1,FLOW-027,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
7,1,FLOW-028,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
8,1,FLOW-003,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
9,1,FLOW-004,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
10,1,FLOW-009,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
11,1,FLOW-015,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
12,1,FLOW-018,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
13,1,FLOW-021,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
14,1,FLOW-024,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
15,1,FLOW-010,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
16,1,FLOW-016,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
17,1,FLOW-019,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
18,1,FLOW-020,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
19,1,FLOW-022,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
20,1,FLOW-007,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
21,1,FLOW-011,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
22,1,FLOW-012,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
23,1,FLOW-013,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
24,1,FLOW-017,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
25,1,FLOW-023,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
26,1,FLOW-005,3,4,1,전공필수,FALSE,,AISW계열 이수체계도
27,1,FLOW-006,3,4,1,전공필수,FALSE,,AISW계열 이수체계도
28,1,FLOW-029,3,3,1,전공선택,FALSE,,AISW계열 이수체계도
29,1,FLOW-034,3,3,1,전공선택,FALSE,,AISW계열 이수체계도
30,1,FLOW-036,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
31,1,FLOW-041,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
32,1,FLOW-049,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
33,1,FLOW-050,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
34,1,FLOW-008,3,4,2,전공필수,FALSE,,AISW계열 이수체계도
35,1,FLOW-035,3,3,2,전공선택,FALSE,,AISW계열 이수체계도
36,1,FLOW-037,3,3,2,전공선택,FALSE,,AISW계열 이수체계도
37,1,FLOW-052,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
38,1,FLOW-053,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
39,1,FLOW-047,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
40,1,FLOW-051,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
41,1,FLOW-054,4,4,2,전공선택,FALSE,,AISW계열 이수체계도
42,2,FLOW-001,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
43,2,FLOW-002,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
44,2,FLOW-014,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
45,2,FLOW-025,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
46,2,FLOW-026,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
47,2,FLOW-027,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
48,2,FLOW-028,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
49,2,FLOW-003,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
50,2,FLOW-004,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
51,2,FLOW-015,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
52,2,FLOW-018,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
53,2,FLOW-021,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
54,2,FLOW-024,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
55,2,FLOW-005,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
56,2,FLOW-006,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
57,2,FLOW-016,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
58,2,FLOW-019,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
59,2,FLOW-020,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
60,2,FLOW-022,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
61,2,FLOW-007,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
62,2,FLOW-008,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
63,2,FLOW-012,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
64,2,FLOW-013,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
65,2,FLOW-017,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
66,2,FLOW-023,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
67,2,FLOW-009,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
68,2,FLOW-010,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
69,2,FLOW-034,3,3,1,전공선택,FALSE,,AISW계열 이수체계도
70,2,FLOW-042,3,4,1,전공선택,FALSE,,AISW계열 이수체계도
71,2,FLOW-048,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
72,2,FLOW-011,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
73,2,FLOW-032,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
74,2,FLOW-038,3,3,2,전공선택,FALSE,,AISW계열 이수체계도
75,2,FLOW-043,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
76,2,FLOW-045,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
77,2,FLOW-055,4,4,1,전공필수,FALSE,,AISW계열 이수체계도
78,2,FLOW-044,4,4,2,전공선택,FALSE,,AISW계열 이수체계도
79,2,FLOW-046,4,4,2,전공선택,FALSE,,AISW계열 이수체계도
80,2,FLOW-056,4,4,2,전공필수,FALSE,,AISW계열 이수체계도
81,3,FLOW-001,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
82,3,FLOW-002,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
83,3,FLOW-025,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
84,3,FLOW-026,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
85,3,FLOW-028,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
86,3,FLOW-003,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
87,3,FLOW-004,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
88,3,FLOW-009,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
89,3,FLOW-018,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
90,3,FLOW-021,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
91,3,FLOW-024,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
92,3,FLOW-005,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
93,3,FLOW-006,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
94,3,FLOW-010,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
95,3,FLOW-019,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
96,3,FLOW-020,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
97,3,FLOW-022,2,2,1,계열공통,FALSE,,AISW계열 이수체계도
98,3,FLOW-007,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
99,3,FLOW-008,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
100,3,FLOW-011,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
101,3,FLOW-012,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
102,3,FLOW-013,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
103,3,FLOW-023,2,2,2,계열공통,FALSE,,AISW계열 이수체계도
104,3,FLOW-014,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
105,3,FLOW-015,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
106,3,FLOW-027,3,3,1,전공필수,FALSE,,AISW계열 이수체계도
107,3,FLOW-034,3,3,1,전공선택,FALSE,,AISW계열 이수체계도
108,3,FLOW-042,3,4,1,전공선택,FALSE,,AISW계열 이수체계도
109,3,FLOW-016,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
110,3,FLOW-017,3,3,2,전공필수,FALSE,,AISW계열 이수체계도
111,3,FLOW-043,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
112,3,FLOW-045,4,4,1,전공선택,FALSE,,AISW계열 이수체계도
113,3,FLOW-057,4,4,1,전공필수,FALSE,,AISW계열 이수체계도
114,3,FLOW-058,4,4,1,전공필수,FALSE,,AISW계열 이수체계도
115,3,FLOW-044,4,4,2,전공선택,FALSE,,AISW계열 이수체계도
116,3,FLOW-046,4,4,2,전공선택,FALSE,,AISW계열 이수체계도
117,3,FLOW-059,4,4,2,전공필수,FALSE,,AISW계열 이수체계도
118,3,FLOW-060,4,4,2,전공필수,FALSE,,AISW계열 이수체계도
119,4,FLOW-001,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
120,4,FLOW-002,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
121,4,FLOW-014,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
122,4,FLOW-025,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
123,4,FLOW-026,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
124,4,FLOW-027,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
125,4,FLOW-028,1,1,1,계열공통,FALSE,,AISW계열 이수체계도
126,4,FLOW-003,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
127,4,FLOW-004,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
128,4,FLOW-009,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
129,4,FLOW-015,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
130,4,FLOW-021,1,2,2,계열공통,FALSE,,AISW계열 이수체계도
