course_id,course_code,course_name,credits,department,description,source
1,FLOW-001,SW와인공지능개론,3,AISW계열,,AISW계열 이수체계도
2,FLOW-002,프로그래밍기초,3,AISW계열,,AISW계열 이수체계도
3,FLOW-003,데이터구조와알고리즘,3,AISW계열,,AISW계열 이수체계도
4,FLOW-004,컴퓨터구조,3,컴퓨터공학부,,AISW계열 이수체계도
5,FLOW-005,운영체제,3,컴퓨터공학부,,AISW계열 이수체계도
6,FLOW-006,데이터베이스,3,소프트웨어융합학부,,AISW계열 이수체계도
7,FLOW-007,네트워크,3,컴퓨터공학부,,AISW계열 이수체계도
8,FLOW-008,소프트웨어공학,3,소프트웨어융합학부,,AISW계열 이수체계도
9,FLOW-009,인공지능개론,3,인공지능,,AISW계열 이수체계도
10,FLOW-010,기계학습,3,인공지능,,AISW계열 이수체계도
11,FLOW-011,딥러닝,3,인공지능,,AISW계열 이수체계도
12,FLOW-012,자연어처리,3,인공지능,,AISW계열 이수체계도
13,FLOW-013,컴퓨터비전,3,인공지능,,AISW계열 이수체계도
14,FLOW-014,데이터사이언스입문,3,데이터사이언스,,AISW계열 이수체계도
15,FLOW-015,통계학,3,데이터사이언스,,AISW계열 이수체계도
16,FLOW-016,빅데이터분석,3,데이터사이언스,,AISW계열 이수체계도
17,FLOW-017,데이터시각화,3,데이터사이언스,,AISW계열 이수체계도
18,FLOW-018,XR개론,3,XR콘텐츠,,AISW계열 이수체계도
19,FLOW-019,3D프로그래밍,3,XR콘텐츠,,AISW계열 이수체계도
20,FLOW-020,XR콘텐츠디자인,3,XR콘텐츠,,AISW계열 이수체계도
21,FLOW-021,IoT개론,3,지능형IoT,,AISW계열 이수체계도
22,FLOW-022,임베디드시스템,3,지능형IoT,,AISW계열 이수체계도
23,FLOW-023,센서네트워크,3,지능형IoT,,AISW계열 이수체계도
24,FLOW-024,알고리즘과프로그래밍,3,AISW계열,,AISW계열 이수체계도
25,FLOW-025,선형대수,3,AISW계열,,AISW계열 이수체계도
26,FLOW-026,이산수학,3,AISW계열,,AISW계열 이수체계도
27,FLOW-027,확률과통계,3,AISW계열,,AISW계열 이수체계도
28,FLOW-028,수치해석,3,AISW계열,,AISW계열 이수체계도
29,FLOW-029,컴퓨터그래픽스,3,XR콘텐츠,,AISW계열 이수체계도
30,FLOW-030,게임프로그래밍,3,XR콘텐츠,,AISW계열 이수체계도
31,FLOW-031,영상처리,3,XR콘텐츠,,AISW계열 이수체계도
32,FLOW-032,음성처리,3,인공지능,,AISW계열 이수체계도
33,FLOW-033,로봇공학,3,지능형IoT,,AISW계열 이수체계도
34,FLOW-034,HCI,3,AI·SW학,,AISW계열 이수체계도
35,FLOW-035,정보보안,3,컴퓨터공학부,,AISW계열 이수체계도
36,FLOW-036,클라우드컴퓨팅,3,소프트웨어융합학부,,AISW계열 이수체계도
37,FLOW-037,블록체인,3,소프트웨어융합학부,,AISW계열 이수체계도
38,FLOW-038,임베디드AI,3,지능형IoT,,AISW계열 이수체계도
39,FLOW-039,엣지컴퓨팅,3,지능형IoT,,AISW계열 이수체계도
40,FLOW-040,데이터통신,3,컴퓨터공학부,,AISW계열 이수체계도
41,FLOW-041,소프트웨어테스트,3,소프트웨어융합학부,,AISW계열 이수체계도
42,FLOW-042,디자인씽킹,3,AI·SW학,,AISW계열 이수체계도
43,FLOW-043,캡스톤디자인1,3,AISW계열,,AISW계열 이수체계도
44,FLOW-044,캡스톤디자인2,3,AISW계열,,AISW계열 이수체계도
45,FLOW-045,산학협력프로젝트1,3,AISW계열,,AISW계열 이수체계도
46,FLOW-046,산학협력프로젝트2,3,AISW계열,,AISW계열 이수체계도
47,FLOW-047,SW창업,3,소프트웨어융합학부,,AISW계열 이수체계도
48,FLOW-048,AI윤리,3,AI·SW학,,AISW계열 이수체계도
49,FLOW-049,오픈소스SW,3,소프트웨어융합학부,,AISW계열 이수체계도
50,FLOW-050,웹프로그래밍,3,소프트웨어융합학부,,AISW계열 이수체계도
51,FLOW-051,모바일프로그래밍,3,소프트웨어융합학부,,AISW계열 이수체계도
52,FLOW-052,클라우드아키텍처,3,소프트웨어융합학부,,AISW계열 이수체계도
53,FLOW-053,마이크로서비스,3,소프트웨어융합학부,,AISW계열 이수체계도
54,FLOW-054,DevOps,3,소프트웨어융합학부,,AISW계열 이수체계도
55,FLOW-055,AI서비스개발,3,인공지능,,AISW계열 이수체계도
56,FLOW-056,AI시스템운영,3,인공지능,,AISW계열 이수체계도
57,FLOW-057,추천시스템,3,데이터사이언스,,AISW계열 이수체계도
58,FLOW-058,시계열분석,3,데이터사이언스,,AISW계열 이수체계도
59,FLOW-059,텍스트마이닝,3,데이터사이언스,,AISW계열 이수체계도
60,FLOW-060,그래프데이터분석,3,데이터사이언스,,AISW계열 이수체계도
61,FLOW-061,디지털트윈,3,XR콘텐츠,,AISW계열 이수체계도
62,FLOW-062,메타버스,3,XR콘텐츠,,AISW계열 이수체계도
63,FLOW-063,스마트팩토리,3,지능형IoT,,AISW계열 이수체계도
64,FLOW-064,자율주행,3,지능형IoT,,AISW계열 이수체계도
65,FLOW-065,AISW종합설계,3,AISW계열,,AISW계열 이수체계도
