relationship_id,from_course_id,to_course_id,relationship_type,program_id,note,source
1,FLOW-002,FLOW-003,PREREQUISITE,,프로그래밍기초->데이터구조,AISW계열 이수체계도
2,FLOW-003,FLOW-009,PREREQUISITE,,데이터구조->인공지능개론,AISW계열 이수체계도
3,FLOW-009,FLOW-010,PREREQUISITE,,인공지능개론->기계학습,AISW계열 이수체계도
4,FLOW-010,FLOW-011,PREREQUISITE,,기계학습->딥러닝,AISW계열 이수체계도
5,FLOW-011,FLOW-012,PREREQUISITE,,딥러닝->자연어처리,AISW계열 이수체계도
6,FLOW-011,FLOW-013,PREREQUISITE,,딥러닝->컴퓨터비전,AISW계열 이수체계도
7,FLOW-001,FLOW-009,SEQUENCE,,SW와인공지능개론->인공지능개론,AISW계열 이수체계도
8,FLOW-006,FLOW-014,SEQUENCE,,데이터베이스->데이터사이언스입문,AISW계열 이수체계도
9,FLOW-014,FLOW-016,PREREQUISITE,,데이터사이언스입문->빅데이터분석,AISW계열 이수체계도
10,FLOW-015,FLOW-016,PREREQUISITE,,통계학->빅데이터분석,AISW계열 이수체계도
11,FLOW-014,FLOW-017,PREREQUISITE,,데이터사이언스입문->데이터시각화,AISW계열 이수체계도
12,FLOW-016,FLOW-057,PREREQUISITE,,빅데이터분석->추천시스템,AISW계열 이수체계도
13,FLOW-016,FLOW-058,PREREQUISITE,,빅데이터분석->시계열분석,AISW계열 이수체계도
14,FLOW-016,FLOW-059,PREREQUISITE,,빅데이터분석->텍스트마이닝,AISW계열 이수체계도
15,FLOW-016,FLOW-060,PREREQUISITE,,빅데이터분석->그래프데이터분석,AISW계열 이수체계도
16,FLOW-002,FLOW-050,SEQUENCE,,프로그래밍기초->웹프로그래밍,AISW계열 이수체계도
17,FLOW-050,FLOW-051,PREREQUISITE,,웹프로그래밍->모바일프로그래밍,AISW계열 이수체계도
18,FLOW-006,FLOW-036,SEQUENCE,,데이터베이스->클라우드컴퓨팅,AISW계열 이수체계도
19,FLOW-036,FLOW-052,PREREQUISITE,,클라우드컴퓨팅->클라우드아키텍처,AISW계열 이수체계도
20,FLOW-052,FLOW-053,PREREQUISITE,,클라우드아키텍처->마이크로서비스,AISW계열 이수체계도
21,FLOW-053,FLOW-054,PREREQUISITE,,마이크로서비스->DevOps,AISW계열 이수체계도
22,FLOW-024,FLOW-029,SEQUENCE,,알고리즘->컴퓨터그래픽스,AISW계열 이수체계도
23,FLOW-029,FLOW-030,PREREQUISITE,,컴퓨터그래픽스->게임프로그래밍,AISW계열 이수체계도
24,FLOW-029,FLOW-031,PREREQUISITE,,컴퓨터그래픽스->영상처리,AISW계열 이수체계도
25,FLOW-031,FLOW-061,PREREQUISITE,,영상처리->디지털트윈,AISW계열 이수체계도
26,FLOW-061,FLOW-062,PREREQUISITE,,디지털트윈->메타버스,AISW계열 이수체계도
27,FLOW-021,FLOW-022,PREREQUISITE,,IoT개론->임베디드시스템,AISW계열 이수체계도
28,FLOW-022,FLOW-023,PREREQUISITE,,임베디드시스템->센서네트워크,AISW계열 이수체계도
29,FLOW-022,FLOW-033,PREREQUISITE,,임베디드시스템->로봇공학,AISW계열 이수체계도
30,FLOW-022,FLOW-038,PREREQUISITE,,임베디드시스템->임베디드AI,AISW계열 이수체계도
31,FLOW-038,FLOW-039,PREREQUISITE,,임베디드AI->엣지컴퓨팅,AISW계열 이수체계도
32,FLOW-023,FLOW-063,PREREQUISITE,,센서네트워크->스마트팩토리,AISW계열 이수체계도
33,FLOW-021,FLOW-064,SEQUENCE,,IoT개론->자율주행,AISW계열 이수체계도
34,FLOW-043,FLOW-044,SEQUENCE,,캡스톤디자인1->캡스톤디자인2,AISW계열 이수체계도
35,FLOW-045,FLOW-046,SEQUENCE,,산학협력프로젝트1->산학협력프로젝트2,AISW계열 이수체계도
36,FLOW-011,FLOW-055,SEQUENCE,,딥러닝->AI서비스개발,AISW계열 이수체계도
37,FLOW-055,FLOW-056,PREREQUISITE,,AI서비스개발->AI시스템운영,AISW계열 이수체계도
