curriculum_course_id,program_id,course_id,recommended_grade_min,recommended_grade_max,semester,completion_type,is_recommended,note,source
1,1,1,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
2,1,2,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
3,1,9,2,2,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
4,1,10,2,2,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
5,1,19,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
6,1,20,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
7,1,24,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
8,1,29,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
9,1,4,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
10,1,5,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
11,1,21,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
12,1,25,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
13,1,30,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
14,1,22,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
15,1,26,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
16,1,31,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
17,1,35,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
18,1,45,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
19,1,27,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
20,1,32,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
21,1,33,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
22,1,34,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
23,1,36,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
24,1,37,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
25,1,39,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
26,1,11,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
27,1,12,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
28,1,13,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
29,1,14,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
30,1,15,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
31,1,16,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
32,1,17,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
33,1,18,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
34,1,43,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
35,1,46,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
36,1,47,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
37,1,48,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
38,1,49,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
39,1,38,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
40,1,28,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
41,2,1,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
42,2,2,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
43,2,6,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
44,2,3,2,2,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
45,2,7,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
46,2,8,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
47,2,40,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
48,2,4,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
49,2,5,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
50,2,41,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
51,2,35,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
52,2,36,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
53,2,42,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
54,2,45,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
55,2,37,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
56,2,38,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
57,2,39,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
58,2,46,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
59,2,47,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
60,2,48,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
61,2,49,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
62,2,50,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
63,2,51,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
64,2,52,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
65,2,53,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
66,2,54,3,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
67,2,11,2,2,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
68,2,12,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
69,2,13,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
70,2,16,4,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
71,2,17,4,4,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
72,2,43,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
73,2,44,3,4,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
74,2,19,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
75,2,20,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
76,2,24,3,3,1,전공선택,FALSE,,융합전공 교과과정 편성표2026
77,2,25,3,3,2,전공선택,FALSE,,융합전공 교과과정 편성표2026
