program_course_id,program_id,course_id,recognition_type,equivalence_group,max_recognized_in_group,note,source
1,1,1,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
2,1,2,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
3,1,9,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
4,1,10,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
5,1,19,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
6,1,20,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
7,1,24,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
8,1,29,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
9,1,4,융합전공 인정과목,ML_EQUIV,1,,융합전공 교과과정 편성표2026
10,1,5,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
11,1,21,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
12,1,25,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
13,1,30,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
14,1,22,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
15,1,26,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
16,1,31,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
17,1,35,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
18,1,45,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
19,1,27,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
20,1,32,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
21,1,33,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
22,1,34,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
23,1,36,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
24,1,37,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
25,1,39,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
26,1,11,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
27,1,12,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
28,1,13,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
29,1,14,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
30,1,15,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
31,1,16,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
32,1,17,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
33,1,18,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
34,1,43,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
35,1,46,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
36,1,47,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
37,1,48,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
38,1,49,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
39,1,38,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
40,1,28,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
41,2,1,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
42,2,2,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
43,2,6,융합전공 인정과목,ML_EQUIV,1,,융합전공 교과과정 편성표2026
44,2,3,융합전공 인정과목,ML_EQUIV,1,,융합전공 교과과정 편성표2026
45,2,7,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
46,2,8,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
47,2,40,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
48,2,4,융합전공 인정과목,ML_EQUIV,1,,융합전공 교과과정 편성표2026
49,2,5,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
50,2,41,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
51,2,35,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
52,2,36,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
53,2,42,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
54,2,45,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
55,2,37,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
56,2,38,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
57,2,39,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
58,2,46,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
59,2,47,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
60,2,48,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
61,2,49,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
62,2,50,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
63,2,51,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
64,2,52,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
65,2,53,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
66,2,54,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
67,2,11,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
68,2,12,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
69,2,13,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
70,2,16,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
71,2,17,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
72,2,43,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
73,2,44,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
74,2,19,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
75,2,20,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
76,2,24,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
77,2,25,융합전공 인정과목,,,,융합전공 교과과정 편성표2026
