course_id,course_code,course_name,credits,department,description,source
1,DS201,데이터사이언스입문,3,데이터사이언스,,특화전공 교과과정 편성표2026
2,MI401,감성컴퓨팅,3,AI·SW계열,,특화전공 교과과정 편성표2026
3,NE341,기계학습,3,컴퓨터공학부,,특화전공 교과과정 편성표2026
4,NI140,머신러닝,3,소프트웨어융합학부,,특화전공 교과과정 편성표2026
5,SH203,컴퓨터윤리,3,소프트웨어,,특화전공 교과과정 편성표2026
6,SH309,기계학습,3,AI·SW계열,,특화전공 교과과정 편성표2026
7,SH319,UI/UX프로그래밍,3,AI·SW계열,,특화전공 교과과정 편성표2026
8,SH323,인간컴퓨터상호작용,3,AI·SW계열,,특화전공 교과과정 편성표2026
9,SH325,AIoT설계와응용,3,AI·SW계열,,특화전공 교과과정 편성표2026
10,SH328,딥러닝기초,3,인공지능,,특화전공 교과과정 편성표2026
11,SH329,딥러닝응용,3,AI·SW계열,,특화전공 교과과정 편성표2026
12,SH331,청각지능,3,AI·SW학,,특화전공 교과과정 편성표2026
13,SH339,인지감성컴퓨팅기획,3,AI·SW학,,특화전공 교과과정 편성표2026
14,SH340,인지감성컴퓨팅개발1,3,AI·SW학,,특화전공 교과과정 편성표2026
15,SH341,인지감성컴퓨팅개발2,3,AI·SW학,,특화전공 교과과정 편성표2026
16,SH342,앰비언트컴퓨팅기획,3,AI·SW학,,특화전공 교과과정 편성표2026
17,SH343,앰비언트컴퓨팅개발1,3,AI·SW학,,특화전공 교과과정 편성표2026
18,SH344,앰비언트컴퓨팅개발2,3,AI·SW학,,특화전공 교과과정 편성표2026
19,SH350,인지컴퓨팅,3,AI·SW학,,특화전공 교과과정 편성표2026
20,SH351,인지감성AI에이전트,3,AI·SW학,,특화전공 교과과정 편성표2026
21,SH352,자율지능IoT시스템,3,AI·SW학,,특화전공 교과과정 편성표2026
22,SH404,자연어처리,3,AI·SW계열,,특화전공 교과과정 편성표2026
23,SH405,컴퓨터비전,3,AI·SW계열,,특화전공 교과과정 편성표2026
24,SH409,디지털라이프케어서비스,3,AI·SW학,,특화전공 교과과정 편성표2026
25,XR401,XR콘텐츠입문,3,XR콘텐츠,,특화전공 교과과정 편성표2026
