program_course_id,program_id,course_id,recognition_type,equivalence_group,max_recognized_in_group,note,source
1,1,5,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
2,1,25,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
3,1,2,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
4,1,9,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
5,1,8,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
6,1,19,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
7,1,22,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
8,1,10,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
9,1,7,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
10,1,23,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
11,1,6,특화전공 인정과목,ML_EQUIV,1,NE341·NI140과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
12,1,3,특화전공 인정과목,ML_EQUIV,1,SH309·NI140과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
13,1,4,특화전공 인정과목,ML_EQUIV,1,SH309·NE341과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
14,1,20,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
15,1,24,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
16,1,13,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
17,1,14,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
18,1,15,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
19,2,5,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
20,2,1,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
21,2,2,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
22,2,9,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
23,2,8,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
24,2,10,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
25,2,12,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
26,2,11,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
27,2,21,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
28,2,23,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
29,2,7,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
30,2,6,특화전공 인정과목,ML_EQUIV,1,NE341·NI140과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
31,2,3,특화전공 인정과목,ML_EQUIV,1,SH309·NI140과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
32,2,4,특화전공 인정과목,ML_EQUIV,1,SH309·NE341과 동일 인정 그룹; 3과목 중 1과목만 학점 인정,특화전공 교과과정 편성표2026
33,2,24,특화전공 인정과목,,,,특화전공 교과과정 편성표2026
34,2,16,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
35,2,17,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
36,2,18,특화전공 인정과목,,,이수 권고,특화전공 교과과정 편성표2026
