event_id,academic_year,semester,event_name,event_type,start_date,end_date,is_mandatory,description,source_url
1,2026,1,1학기 수강신청기간(재학/복학),COURSE_REGISTRATION,2026-02-03,2026-02-05,True,재학생 및 복학생 대상 1학기 수강신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
2,2026,1,2025학년도 전기 학위수여식,ADMINISTRATIVE,2026-02-13,2026-02-13,False,2025학년도 전기 학위수여식 졸업식 행사,https://portal.hs.ac.kr/kor/4837/subview.do
3,2026,1,설연휴,ADMINISTRATIVE,2026-02-16,2026-02-18,False,설 명절 연휴 기간,https://portal.hs.ac.kr/kor/4837/subview.do
4,2026,1,1학기 등록기간(등록금 납부),TUITION_PAYMENT,2026-02-20,2026-02-24,True,1학기 재학생 및 복학생 등록금 납부 기간,https://portal.hs.ac.kr/kor/4837/subview.do
5,2026,1,신입생 입학식 및 오리엔테이션,ADMINISTRATIVE,2026-02-23,2026-02-23,False,2026학년도 신입생 입학식 행사,https://portal.hs.ac.kr/kor/4837/subview.do
6,2026,1,신(편)입생 수강신청기간,COURSE_REGISTRATION,2026-02-24,2026-02-25,True,신입생 및 편입생 대상 수강신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
7,2026,1,3.1절 및 1학기 개강일,ADMINISTRATIVE,2026-03-01,2026-03-01,True,3.1절 국경일 및 공식 개강일,https://portal.hs.ac.kr/kor/4837/subview.do
8,2026,1,대체휴일,ADMINISTRATIVE,2026-03-02,2026-03-02,False,3.1절 대체공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
9,2026,1,수업시작일,ADMINISTRATIVE,2026-03-03,2026-03-03,True,1학기 공식 수업 시작일,https://portal.hs.ac.kr/kor/4837/subview.do
10,2026,1,수강신청변경기간,COURSE_REGISTRATION,2026-03-03,2026-03-09,False,1학기 수강신청 정정 및 변경 기간,https://portal.hs.ac.kr/kor/4837/subview.do
