schedule_id,offering_id,day_of_week,start_time,end_time,classroom
1,3,금,13:00,14:40,7215
2,4,화,11:00,12:40,18420
3,5,목,13:00,14:40,18420
4,7,금,17:30,19:10,7215
5,8,월,09:30,10:45,18102
6,9,월,09:30,10:45,18106
7,10,월,09:30,10:45,18103
8,11,월,11:00,12:15,3505
9,12,월,11:00,12:15,18104
10,13,월,11:00,12:15,18103
11,14,화,09:30,10:45,18103
12,15,화,09:30,10:45,18104
13,16,화,09:30,10:45,18106
14,17,화,11:00,12:15,18103
15,18,화,11:00,12:15,18104
16,19,화,11:00,12:15,18106
17,20,월,13:00,14:15,18102
18,21,월,13:00,14:15,18104
19,22,월,13:00,14:15,3505
20,23,월,14:30,15:45,18102
21,24,월,14:30,15:45,18104
22,25,화,11:00,12:40,18212
23,26,화,17:30,19:10,18421
24,28,금,17:30,19:10,18211
25,29,월,17:30,18:20,18207
26,30,월,17:30,18:20,18307
27,31,월,16:00,16:50,18425
28,38,금,11:00,12:40,18211
29,39,월,16:00,16:50,20505
30,40,월,17:30,18:20,4107
31,41,월,09:30,10:45,18309
32,42,화,14:30,15:45,18309
33,44,월,13:00,14:15,18309
34,45,목,09:30,10:45,18309
35,46,목,11:00,12:15,18309
36,47,월,11:00,12:15,18309
37,48,화,13:00,14:15,18309
38,51,목,13:00,14:15,18309
39,53,화,11:00,12:15,18309
40,55,월,18:50,19:40,3405
41,56,월,18:50,19:40,20402
42,57,월,18:50,19:40,3407
43,59,월,16:00,16:50,3403
44,60,월,16:00,16:50,18105
45,61,월,16:00,16:50,3405
46,62,화,18:50,19:40,3408
47,63,화,18:50,19:40,3409
48,64,화,18:50,19:40,18110
49,65,월,16:00,16:50,18101
50,66,월,16:00,16:50,3408
51,67,월,16:00,16:50,3409
52,68,월,16:00,16:50,3410
53,74,월,17:30,18:20,20502
54,75,목,18:50,19:40,20505
55,87,화,18:50,19:40,7104
56,89,화,18:50,19:40,7106
57,90,금,13:00,13:50,7106
58,91,금,13:00,13:50,8101
59,92,화,18:50,19:40,18101
60,102,금,13:00,13:50,3411
61,103,금,13:00,13:50,7105
62,105,월,18:50,19:40,7315
63,106,월,16:00,16:50,7203
64,107,화,18:50,19:40,7202
65,108,화,18:50,19:40,10204
66,110,월,16:00,16:50,18207
67,111,월,16:00,16:50,18208
68,112,월,16:00,16:50,18209
69,113,월,16:00,16:50,18314
70,114,월,16:00,16:50,18419
71,115,월,17:30,18:20,18424
72,116,월,17:30,18:20,18208
73,117,월,16:00,16:50,18422
74,118,월,17:30,18:20,18209
75,119,화,13:00,14:15,20505
76,120,화,13:00,14:15,3408
77,121,화,13:00,14:15,3412
78,122,화,13:00,14:15,3410
79,123,금,13:00,14:15,3408
80,124,목,16:00,17:15,20505
81,125,화,16:00,17:15,3408
82,126,화,16:00,17:15,3412
83,127,화,16:00,17:15,3410
84,128,목,13:00,14:15,3409
85,129,목,13:00,14:15,20505
86,130,목,13:00,14:15,3410
87,131,목,13:00,14:15,3412
88,132,목,13:00,14:15,3407
89,133,목,16:00,17:15,3410
90,134,목,16:00,17:15,3412
91,135,목,16:00,17:15,3407
92,136,화,16:00,17:15,3407
93,137,금,09:30,10:45,20505
94,138,화,13:00,14:15,3407
95,139,금,09:30,10:45,3408
96,141,월,13:00,14:15,18307
97,142,목,11:00,12:15,18307
98,143,목,13:00,14:15,18307
99,145,화,14:30,15:45,7108
100,146,월,14:30,15:45,18307
101,147,월,14:30,15:45,18308
102,149,화,13:00,14:15,7108
103,151,목,14:30,15:45,18309
104,152,월,16:00,17:15,18308
105,154,화,09:30,10:45,3506
106,155,화,09:30,10:45,3405
107,156,화,09:30,10:45,3308
108,157,화,09:30,10:45,20305
109,158,화,09:30,10:45,20505
110,159,화,09:30,10:45,20406
111,160,화,09:30,10:45,3406
112,161,화,09:30,10:45,3408
113,162,화,09:30,10:45,3410
114,163,화,11:00,12:40,3207
115,164,목,17:30,19:10,3423
116,166,금,11:00,12:40,18420
117,167,금,13:00,14:40,18420
118,169,월,16:00,16:50,4107
119,170,월,18:50,19:40,3409
120,171,월,18:50,19:40,3410
121,172,월,18:50,19:40,3411
122,173,월,18:50,19:40,20505
123,174,월,18:50,19:40,20401
124,175,월,18:50,19:40,20506
125,176,월,18:50,19:40,3203
