course_id,course_code,course_name,credit,theory_hours,practice_hours,course_description,source_url
1,KY410,진로와상담,0.0,0.0,0.0,경영미디어계열 / 대학생활길잡이 이수 완료자,https://sugang.hs.ac.kr/course/subject/list
2,KY313,기독교와문화,2.0,2.0,0.0,교필과목/기독교과목,https://sugang.hs.ac.kr/course/subject/list
3,KYC54,Essential English,3.0,3.0,0.0,독해수업/신학인문/콘텐츠/글로벌융합/경영/미디어 계열수강/2026학번 교양필수,https://sugang.hs.ac.kr/course/subject/list
4,KY882,기독교와세계종교,2.0,2.0,0.0,교필과목/기독교과목,https://sugang.hs.ac.kr/course/subject/list
5,KY620,드라마속의기독교,2.0,2.0,0.0,교필과목/기독교과목,https://sugang.hs.ac.kr/course/subject/list
6,KY677,대학생활길잡이,1.0,1.0,0.0,AI·SW계열 수강,https://sugang.hs.ac.kr/course/subject/list
7,KY883,영화속의기독교,2.0,2.0,0.0,교필과목/기독교과목,https://sugang.hs.ac.kr/course/subject/list
8,KY304,채플,1.0,1.0,0.0,"신학 1학년, 신학전공 예정자(대예배실에서 채플 진행)",https://sugang.hs.ac.kr/course/subject/list
9,KYC56,컴퓨팅사고와SW코딩,3.0,3.0,0.0,AISW 계열 수강 / 교양필수,https://sugang.hs.ac.kr/course/subject/list
10,KYC55,글쓰기의기초,3.0,3.0,0.0,자유전공/휴먼서비스/첨단융합/AI•SW/특체계열 수강 / 2026학번 교양필수 ,https://sugang.hs.ac.kr/course/subject/list
11,KYD03,AI아트코딩과윤리,3.0,3.0,0.0,신학인문융합계열 수강 / 교양필수,https://sugang.hs.ac.kr/course/subject/list
12,KYD01,자기탐색과소통,1.0,1.0,0.0,자유전공학부 교양필수,https://sugang.hs.ac.kr/course/subject/list
13,KY612,성서입문,2.0,2.0,0.0,교필과목/성서관련과목 신학전공예정자 교양필수과목,https://sugang.hs.ac.kr/course/subject/list
14,KY879,기독교와인문학,2.0,2.0,0.0,교필과목/기독교과목,https://sugang.hs.ac.kr/course/subject/list
15,KY201,채플,0.5,0.5,0.0,"경영계열(경영,IT경영,글비), 미디어계열(미영), 휴먼서비스계열(사회학과,사복,재활,심아), 특수체육학계열(특체)",https://sugang.hs.ac.kr/course/subject/list
16,KY100,채플,1.0,1.0,0.0,~22학번 신학대학 2~4학년 복학생(대예배실에서 채플 진행),https://sugang.hs.ac.kr/course/subject/list
17,KY101,채플,0.5,0.5,0.0,"첨단융합(수리,응통,금융공학,빅데이터융합),AI·SW계열(컴공, 소웨융, IT영상콘텐츠), AI시스템반도체",https://sugang.hs.ac.kr/course/subject/list
18,KY509,채플,1.0,1.0,0.0,"신학대학 NP대상자 수강, 교목실과 상담 후 수강신청, P/NP",https://sugang.hs.ac.kr/course/subject/list
19,KY921,사회생활길잡이,1.0,1.0,0.0,"AI·SW학, 컴공부, 소웨융, 아영콘 수강",https://sugang.hs.ac.kr/course/subject/list
20,KY217,성서의세계,2.0,2.0,0.0,"교필과목/2,3,4학년 성서관련 과목 미이수자",https://sugang.hs.ac.kr/course/subject/list
21,KY721,영어Ⅰ,2.0,2.0,0.0,교양필수 영어1 재수강반(*2026-1학기까지만 재수강 가능),https://sugang.hs.ac.kr/course/subject/list
22,*KY134,K-POP실습,3.0,3.0,0.0,외국인학생 전용강의,https://sugang.hs.ac.kr/course/subject/list
23,KYC89,세계의전쟁과평화,3.0,3.0,0.0,교내온라인,https://sugang.hs.ac.kr/course/subject/list
24,KY696,문학과영화에서죽음의의미,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
25,KY820,테니스,2.0,2.0,0.0,특수체육학 전공생 수강금지(특수체육학계열 1학년은 수강 가능) 이론 수업 시 10201호,https://sugang.hs.ac.kr/course/subject/list
26,KY828,등산과트래킹,2.0,2.0,0.0,특수체육학 전공생 수강금지(특수체육학계열 1학년은 수강 가능),https://sugang.hs.ac.kr/course/subject/list
27,KY755,철학이란무엇인가,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
28,KY817,축구,2.0,2.0,0.0,특수체육학 전공생 수강금지(특수체육학계열 1학년은 수강가능) 이론 수업 시 10202호,https://sugang.hs.ac.kr/course/subject/list
29,KY835,봉사활동Ⅰ,1.0,1.0,0.0,"P/N 교과목/오리엔테이션 필참,30시간이상 봉사활동 수행, 인증서 제출",https://sugang.hs.ac.kr/course/subject/list
30,KY964,시각문화의역사,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
31,KY786,뉴턴과근대과학탄생의비밀,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
32,KY861,올바른언어생활,2.0,2.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
