notice_id,source_board,title,category,posted_date,notice_url,content
1,SW중심대학사업단 공지사항,[공지] 2026-2학기 융합/특화전공 신청 안내,학사,2026-07-15,https://swuniv.hs.ac.kr/07_01,
2,SW중심대학사업단 공지사항,[공지] AI아트코딩과윤리 멘토링 신청안내,학사,2026-03-19,https://swuniv.hs.ac.kr/07_01,
3,SW중심대학사업단 공지사항,[홍보] ACPC 2026 (AWS x Codetree) 전국 대학생/대학원생 프로그래밍 경진대회 개최 안내,행사,2026-07-16,https://swuniv.hs.ac.kr/07_01,
4,SW중심대학사업단 공지사항,[안내] 2026년 관광데이터 활용 공모전 웹·앱 구현 부문 모집 안내 (~7/21까지),행사,2026-07-15,https://swuniv.hs.ac.kr/07_01,
5,SW중심대학사업단 공지사항,[공지] 2026 SW중심대학 학생 주도형 아이디어 공모전 결과 발표 일정 변경 안내,학사,2026-07-07,https://swuniv.hs.ac.kr/07_01,
6,SW중심대학사업단 공지사항,[공지] 2026년도 1학기 SW포인트(소중한 포인트) 신청 안내,장학,2026-06-30,https://swuniv.hs.ac.kr/07_01,
7,SW중심대학사업단 공지사항,[안내] 2026 상반기 교재개발 사업 안내 (접수기한 연장),학사,2026-06-24,https://swuniv.hs.ac.kr/07_01,
8,SW중심대학사업단 공지사항,[홍보] 2026년 코디세이 올인원 교육 과정,행사,2026-06-19,https://swuniv.hs.ac.kr/07_01,
9,SW중심대학사업단 공지사항,[홍보] [경기대학교] 2026 AI-Powered 『경기대학교-크래프톤 정글 웹개발 집중 캠프』 참가,행사,2026-06-15,https://swuniv.hs.ac.kr/07_01,
10,SW중심대학사업단 공지사항,[홍보] (삼육대학교) [특화트랙 대학 연합] 2026년 AI+X 미래혁신 융합 아이디어톤,행사,2026-06-15,https://swuniv.hs.ac.kr/07_01,
11,SW중심대학사업단 공지사항,[공지] 2026 SW중심대학 디지털경진대회 학교 대표 선발 안내,학사,2026-06-08,https://swuniv.hs.ac.kr/07_01,
12,SW중심대학사업단 공지사항,[공지] 2026-1학기 SW융합/특화전공 장학금 신청 안내,장학,2026-06-04,https://swuniv.hs.ac.kr/07_01,
13,SW중심대학사업단 공지사항,[안내] (양식 변경) 2026 한일 브릿지 아이디어톤 참가자 모집,학사,2026-06-04,https://swuniv.hs.ac.kr/07_01,
14,SW중심대학사업단 공지사항,[마감] 2026년 SW중심대학 디지털경진대회 학생 선발 안내 (접수마감),학사,2026-04-29,https://swuniv.hs.ac.kr/07_01,
15,SW중심대학사업단 공지사항,[공지] 제1차 한신 AISW 알고리즘 공개 경진대회 결과 안내,학사,2026-06-02,https://swuniv.hs.ac.kr/07_01,
16,SW중심대학사업단 공지사항,[홍보] 2026 소상공인 온라인 플랫폼 역량강화 교육생 모집,행사,2026-06-01,https://swuniv.hs.ac.kr/07_01,
17,SW중심대학사업단 공지사항,[홍보] 2026 경기 가상융합 캠퍼스 정규교육과정 모집 (~6/30까지),행사,2026-06-01,https://swuniv.hs.ac.kr/07_01,
18,SW중심대학사업단 공지사항,[안내] 2026 SW중심대학 학생 주도형 아이디어 공모전 안내,학사,2026-05-22,https://swuniv.hs.ac.kr/07_01,
19,SW중심대학사업단 공지사항,[안내] 제1차 한신 AISW 알고리즘 공개 경진대회 안내,학사,2026-05-20,https://swuniv.hs.ac.kr/07_01,
20,SW중심대학사업단 공지사항,[홍보] 제9회 국민대학교 자율주행 경진대회 (~5/22까지 접수),행사,2026-05-14,https://swuniv.hs.ac.kr/07_01,
21,SW중심대학사업단 공지사항,[홍보] 2026 관광데이터 활용 공모전(생성형 AI 활용 관광 프롬프톤 부문)(~5/20 16:00까지),행사,2026-05-13,https://swuniv.hs.ac.kr/07_01,
22,SW중심대학사업단 공지사항,[안내] 2026-2학기 융합/특화전공 신청 안내,학사,2026-05-13,https://swuniv.hs.ac.kr/07_01,
23,SW중심대학사업단 공지사항,2026 산학협력 프로젝트 선정자 공지,기타,2026-05-12,https://swuniv.hs.ac.kr/07_01,
24,SW중심대학사업단 공지사항,[안내] SW 전문가 특강 안내 (주제: 지능형 센서 시스템 관련 직무 이야기),학사,2026-05-07,https://swuniv.hs.ac.kr/07_01,
25,SW중심대학사업단 공지사항,[홍보] 2026 AI Pilot Top Gun Challenge 참가팀 모집(기한: 5/19까지),행사,2026-05-07,https://swuniv.hs.ac.kr/07_01,
26,SW중심대학사업단 공지사항,[공지] 오픈소스 SW 동아리 학생 선발 안내,학사,2026-05-06,https://swuniv.hs.ac.kr/07_01,
27,SW중심대학사업단 공지사항,[공지] 2026년 AI-SW중심대학 AI·블록체인 비즈니스모델 경진대회 최종평가 대상자 안내,학사,2026-05-06,https://swuniv.hs.ac.kr/07_01,
28,SW중심대학사업단 공지사항,[안내] 2026년도 SW중심대학사업 학술대회 참가등록비 지원 사업 안내,학사,2026-04-28,https://swuniv.hs.ac.kr/07_01,
29,SW중심대학사업단 공지사항,[안내] 2026 산학협력 프로젝트 선정과제 공지 및 학생연구원 신청 안내,학사,2026-04-27,https://swuniv.hs.ac.kr/07_01,
30,SW중심대학사업단 공지사항,[홍보] 2026 SW전공교수 TOPCIT 릴레이 특강 참여 안내,행사,2026-04-27,https://swuniv.hs.ac.kr/07_01,
31,SW중심대학사업단 공지사항,[안내] 2026 오픈소스 SW 동아리 신청 안내(~4/30 13:00까지),학사,2026-04-21,https://swuniv.hs.ac.kr/07_01,
32,SW중심대학사업단 공지사항,[안내] 2026-1학기 SW중심대학 노트북 대여 신청 안내(2차),학사,2026-04-21,https://swuniv.hs.ac.kr/07_01,
